기준 년코드,기준분기코드,상권구분코드,상권구분코드명,상권코드,상권코드명,총유동인구,남성유동인구,여성유동인구,10대유동인구,20대유동인구,30대유동인구,40대유동인구,50대유동인구,60대이상유동인구
2018,4,A,골목상권,1000560,강서로45다길,862626,390439,472188,134035,109551,139192,119277,128031,232540
2018,4,A,골목상권,1000739,동작대로17길,660533,301793,358741,66177,122238,126491,94427,97444,153754
2018,4,A,골목상권,1000563,강서로5가길,1355958,652909,703048,196831,211055,268463,213726,189528,276354
2018,4,A,골목상권,1000740,동작대로29길,402809,186894,215915,69367,45088,58265,58224,55440,116427
2018,4,A,골목상권,1000567,개화동로23길,815773,379300,436473,144338,97030,117381,110827,119291,226906
2018,4,A,골목상권,1000741,동작대로33길,1307266,607889,699377,220024,166273,197705,188998,182242,352022
2018,4,A,골목상권,1000570,곰달래로31길,951677,429089,522587,199729,107014,167176,149773,116295,211689
2018,4,A,골목상권,1000742,동작대로35길,973652,454278,519374,214600,110342,142255,134676,132580,239198
2018,4,A,골목상권,1000576,공항대로55길,478051,220188,257862,69278,76108,100335,67552,62017,102762
2018,4,A,골목상권,1000743,동작대로7길,1519273,725161,794111,131668,316694,285093,189986,220890,374942
2018,4,A,골목상권,1000579,공항대로61길,565866,260656,305209,84569,77933,116244,90373,82606,114141
2018,4,A,골목상권,1000744,등용로14길,482305,241099,241205,50688,109187,74165,65804,68233,114226
2018,4,A,골목상권,1000583,남부순환로11길,960029,487284,472744,204199,115612,161089,146780,123998,208351
2018,4,A,골목상권,1000745,만양로14길,581308,320231,261075,38614,284322,118131,37640,39968,62631
2018,4,A,골목상권,1000586,등촌로51길,415395,192211,223184,79284,58271,78999,59642,50967,88231
2018,4,A,골목상권,1000746,만양로8길,1545767,825030,720738,173086,565841,278230,131192,142673,254744
2018,4,A,골목상권,1000591,양천로14길,660984,307878,353106,100184,73960,105113,97960,100887,182882
