기준년,분기,상권구분코드,상권구분코드명,상권코드,상권코드명,총유동인구,남성유동인구,여성유동인구,10대유동인구,20대유동인구,30대유동인구,40대유동인구,50대유동인구,60대이상유동인구
2019,3,A,골목상권,1000609,개봉로11길,349335,162162,187172,74784,36151,50071,49671,48013,90645
2019,3,A,골목상권,1000610,개봉로17길,674799,297182,377617,123893,80135,99158,97782,99209,174621
2019,3,A,골목상권,1000611,개봉로17다길,479677,226466,253212,68650,56655,76817,72636,68984,135936
2019,3,A,골목상권,1000612,개봉로1길,443890,208897,234993,82119,48571,69504,66555,65428,111716
2019,3,A,골목상권,1000613,개봉로20길,410734,192464,218269,80373,45878,54895,62675,56157,110759
2019,3,A,골목상권,1000614,개봉로23가길,572147,272307,299840,101830,72495,81295,89884,87487,139156
2019,3,A,골목상권,1000615,개봉로2길,346511,152613,193897,64923,31426,50207,49101,50657,100198
2019,3,A,골목상권,1000616,개봉로3길,295023,140564,154458,54643,31477,47582,45369,43898,72054
2019,3,A,골목상권,1000617,경인로15길,668772,314126,354645,91022,86202,101451,103988,96967,189145
2019,3,A,골목상권,1000618,경인로31길,314884,151010,163875,41760,38753,40600,48246,52633,92894
2019,3,A,골목상권,1000619,경인로35길,607380,296108,311273,85841,72702,79208,90453,101828,177347
2019,3,A,골목상권,1000620,경인로47길,529364,273202,256163,99172,90996,71475,80835,73789,113099
2019,3,A,골목상권,1000621,고척로21나길,688123,327118,361005,109503,73689,78830,105055,104910,216136
2019,3,A,골목상권,1000622,고척로27길,950395,464199,486197,174469,105001,128143,152358,153779,236645
2019,3,A,골목상권,1000623,고척로27다길,649670,304122,345546,134511,76371,80008,98928,102858,156992
2019,3,A,골목상권,1000624,고척로52길,678304,317397,360906,113756,78283,88974,106092,108692,182506
2019,3,A,골목상권,1000625,공원로6가길,523004,255083,267922,55395,99583,108138,78961,74521,106406
2019,3,A,골목상권,1000626,구로동로15길,259605,127879,131726,19327,28480,42318,44924,50894,73663
2019,3,A,골목상권,1000627,구로동로28길,425507,197426,228080,32789,55304,65693,74506,77537,119677
2019,3,A,골목상권,1000628,구로동로38길,766670,364612,402058,69312,112537,125660,132567,132790,193803
2019,3,A,골목상권,1000629,구로동로41길,891340,432717,458622,79445,120598,146044,155940,161496,227815
2019,3,A,골목상권,1000630,구로동로42길,596204,285674,310530,66791,88207,98354,102722,96448,143682
2019,3,A,골목상권,1000631,구로동로7길,544109,283847,260262,43025,63060,90785,99253,103471,144514
2019,3,A,골목상권,1000632,구로동로8길,1535074,728061,807012,149474,175622,274817,284643,259396,391121
2019,3,A,골목상권,1000633,구로중앙로19길,277778,131811,145966,25581,38459,46558,50574,51238,65368
2019,3,A,골목상권,1000634,구로중앙로28길,652831,319395,333436,82904,89475,109147,107561,106750,156997
2019,3,A,골목상권,1000635,구로중앙로34길,486489,233947,252541,52950,66922,82251,80836,79142,124388
2019,3,A,골목상권,1000636,구로중앙로42길,195832,99303,96528,34584,19879,31302,34757,30477,44832
2019,3,A,골목상권,1000637,구로중앙로7길,280743,137458,143286,31742,27059,46278,49919,49856,75889
2019,3,A,골목상권,1000638,구로중앙로8길,1025218,491902,533316,92320,128043,164809,178671,194657,266718
2019,3,A,골목상권,1000639,남부순환로97길,184224,87572,96651,31006,20651,25904,28586,26366,51711
2019,3,A,골목상권,1000640,도림로12길,920507,440741,479766,122177,94892,179639,178745,134020,211034
2019,3,A,골목상권,1000641,도림로6길,903299,450476,452824,61619,97195,150763,163641,175999,254084
2019,3,A,골목상권,1000642,디지털로27길,377822,209149,168673,16409,63603,94520,83332,58067,61891
2019,3,A,골목상권,1000643,디지털로32가길,441257,251199,190058,12437,127514,137701,77826,44161,41621
2019,3,A,골목상권,1000644,디지털로32길,635835,344799,291036,21076,172714,176194,110783,73378,81692
2019,3,A,골목상권,1000645,부일로11길,413830,188479,225352,91687,45315,50410,65787,60728,99902
2019,3,A,골목상권,1000646,부일로15길,542280,255726,286554,104192,66688,69488,83542,84265,134105
2019,3,A,골목상권,1000647,부일로1길,194885,93170,101715,27969,22203,33806,31971,28597,50336
